lizard,rep,uniID,status,relocation,year,ground,mesohabitat,Aspect.x,Slope.x,Elev.x,KDF.x,Shrub_Cov.x,NDVI.x,Solar.x,FID,x_utm,y_utm,long,lat,gender,mass,SVL_mm,tail,tail_mm,ID_heather,geometry,
v,17981,42046,1,468,2016,above,shrub,259.5090027,9.7381802,720,0.0064112,0.0144075,0.173337,376513,1116,261201.5015,3889181.45,-119.620365,35.117193,m,33.5,93,NA,NA,NA,c(808017.816337728, 3891268.79482049)
v,1799,42046,1,471,2016,above,shrub,259.5090027,9.7381802,720,0.0064112,0.0144075,0.173337,376513,1116,261201.5015,3889181.45,-119.620365,35.117193,m,33.5,93,NA,NA,NA,c(808017.816337728, 3891268.79482049)
v,18001,42046,1,1071,2016,above,open,259.5090027,9.7381802,720,0.0064112,0.0144075,0.173337,376513,1116,261201.5015,3889181.45,-119.620365,35.117193,m,33.5,93,NA,NA,NA,c(808017.816337728, 3891268.79482049)
1337,1909,42378,0,445,2018,above,shrub,256.7590027,12.3146,721,0.0060258,0.000456,0.148646,374248,508,261201.5015,3889201.45,-119.620371,35.117374,m,41.79,107,intact,202,29,c(808016.586987359, 3891288.86073425)
d,19092,42378,1,445,2016,above,shrub,256.7590027,12.3146,721,0.0060258,0.000456,0.148646,374248,508,261201.5015,3889201.45,-119.620371,35.117374,m,24,89,NA,NA,NA,c(808016.586987359, 3891288.86073425)
d,1928,42378,1,1070,2016,above,open,256.7590027,12.3146,721,0.0060258,0.000456,0.148646,374248,508,261201.5015,3889201.45,-119.620371,35.117374,m,24,89,NA,NA,NA,c(808016.586987359, 3891288.86073425)
d,19131,42378,1,449,2016,below,open,256.7590027,12.3146,721,0.0060258,0.000456,0.148646,374248,508,261201.5015,3889201.45,-119.620371,35.117374,m,24,89,NA,NA,NA,c(808016.586987359, 3891288.86073425)
d,1910,42378,1,446,2016,below,open,256.7590027,12.3146,721,0.0060258,0.000456,0.148646,374248,508,261201.5015,3889201.45,-119.620371,35.117374,m,24,89,NA,NA,NA,c(808016.586987359, 3891288.86073425)
d,1918,42378,1,454,2016,below,open,256.7590027,12.3146,721,0.0060258,0.000456,0.148646,374248,508,261201.5015,3889201.45,-119.620371,35.117374,m,24,89,NA,NA,NA,c(808016.586987359, 3891288.86073425)
d,19222,42378,1,460,2016,below,open,256.7590027,12.3146,721,0.0060258,0.000456,0.148646,374248,508,261201.5015,3889201.45,-119.620371,35.117374,m,24,89,NA,NA,NA,c(808016.586987359, 3891288.86073425)
